product,title,rate,body
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Não gostei,"2,0 de 5 estrelas",Não demorou nem 6 meses.pifou
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,O cabo dele é diferente dos outros aparelhos Android!!,"4,0 de 5 estrelas","Realmente esse smartphone superou minhas expectativas. A estética e a interface é perfeita. A câmera tem uma ótima captura e o alto falante dele também é muito bom. A tela também não deixa a desejar. Pelo custo-benefício, é um ótimo aparelho.Parabéns Amazon pela entrega rápida!"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Ótimo celular,"5,0 de 5 estrelas","A bateria dura bastante, tem vezes que dura mais de um dia. O android vem com funções nativas muito úteis, como gravação de tela e de chamadas, bloqueio de apps, entre outros. A imagem da tela é muito boa.Só tive um pouco de dificuldade em encontrar capa e película para comprar aqui no comércio local, então recomendo comprar com antecedência ou ter um bom lugar para guardá-lo nos primeiros dias."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Celular,"5,0 de 5 estrelas",A sogra adorou
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Bom Custo benefício,"4,0 de 5 estrelas","A bateria é excelente, dura até dois dias com uso moderado do aparelho. O tamanho é ideal para utilizar no dia a dia e também para assistir séries e vídeos pelo celular.Já a qualidade da camera deixa a desejar mas no meu caso, não utilizo muito então é tranquilo mas para os amantes de fotos com alta resolução pode ser um grande problema."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Site de confiança e responsabilidade com o cliente produto de qualidade,"4,0 de 5 estrelas",Boa tarde! Então comprei esse celular para dar de presente para meu esposo ele adorou o celular superou duas expectativas produto de excelente qualidade bateria duradoura e ainda veio com brindes película de vidro fone de ouvido só faltou a capinha que pena que não veio mas ele amou o celular entrega foi no período combinado muito obrigada pela atenção
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Smartphone TOP,"5,0 de 5 estrelas","Esse aparelho é sensacional, a Bateria dura muito... O carregamento é muito rápido (mesmo com o carregador convencional) em vista de outros da concorrência, o sistema operacional do aparelho é muito fluido, por ser um aparelho considerado de entrada; a custo vs benefícios valeu muito a pena o preço que eu paguei. Já está completando 8 meses que eu adquirir o aparelho e eu estou amando esse Smartphone."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Muito bom no geral,"4,0 de 5 estrelas","Um celular bem prático para uso geral, não trava, memória razoável para uma pessoa que não tem muitos apps...Gostei bastante"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Aparelho ótimo para o preço.,"4,0 de 5 estrelas","O aparelho chegou em ótimo estado, veio até uma mascara que cobre meu rosto todo 😷, mas tem um porém, o carregador veio como se fosse para uma tomada de 20A, tive que comprar um adaptador."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Pra quem é ta bom,"4,0 de 5 estrelas","Adorei o design, muito elegante e moderno. Fácil de configurar e utilizar. Por enquanto, único ruim dele é que ele é um pouco lento para alternar entre aplicativos e abrir algumas telas. Imagino que essa falta de processamento seja por conta dele ser o 8A, sendo assim do formato e tamanho do bolso do trabalhador."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Celular bom,"4,0 de 5 estrelas","Chegou bem rápido, ótimo custo benefício"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,"Pouca memória então, use um cartão.","5,0 de 5 estrelas","Até hoje funciona. Resetei 2 x, tá novinho em folha. Xiaomi é uma excelente marca. Aconselho quem comprar, adicionar um cartão de memória."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Bateria otima,"5,0 de 5 estrelas",Bateria muito boa valeu a pena
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Procedência do produto,"4,0 de 5 estrelas","Muito bom celular, poderia ter o menu na parte de baixo caso nós quisesse voltar a uma aba anterior, ao invés de ter que arrastar do lado esquerdo pro lado direito do celular. Tirando isso é um ótimo celular"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Bom celular,"4,0 de 5 estrelas","É um celular que cumpre sua proposta de acordo com celulares da mesma categoria como um G6, tem um design bonito e é super fácil de usar, mas a duração da bateria decepciona um pouco. Quanto a entrega parabéns ao vendedor pela rapidez chegou em menos de 24 hs."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Não surpreendeu minhas expectativas.,"3,0 de 5 estrelas","Comprei mais pela duração da bateria, pois teoricamente a desse dispositivo era 2000 a mais que meu antigo MOTO G6. Eu tinha noção de que eu perderia qualidade em megapixels da câmera para ter mais bateria, porém a bateria acaba muito rápido. E não, eu não uso muitos aplicativos. Tampouco jogo no celular. Eu não gostei disso e de bônus estou com pouca qualidade na câmera. Se eu soubesse teria comprado outro. Não vem sequer com sensor digital. Não recomendo. Mas se você não liga para nenhum desses pontos, talvez sirva."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Um belo smartphone,"5,0 de 5 estrelas","no preço que ele esta, obviamente não podemos desejar tanto. Esse celular é um celular de entrada, ele não é feito pra ficar jogando, ele é pra usuários básicos, em outras palavras que usa so o essencial, e pelo preço que a xiaomi oferece, acaba conseguindo fazer com que seje um celular bem completo pro que ele foi desenvolvido"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,ótimo produto,"5,0 de 5 estrelas","Muito bom mesmo, valeu muita a pena ter comprado no inicio de 2020"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Dá pro gasto. Uso dia a dia simples,"5,0 de 5 estrelas","Estou com ele a quase um mês e vem atendendo minhas espectativas. A bateria tá durando quase dois dias. Acho que poderia aumentar um pouco a qualidade das fotos. Mas como comprei pra fins de home office tá me servindo bem. Não comprei esse modelo pra fins de tirar fotos, então tá bom"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Os 32 Gb e os 2 Gb de Ram não foram suficientes pra mim... para quem usa pouco é um bom 1° celular,"4,0 de 5 estrelas","Ótimo celular de entrada, bom custo benefício."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Custo benefício,"4,0 de 5 estrelas","É um celular grande, simples, mas com ótimo custo benefício."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Muito bom,"4,0 de 5 estrelas","Celular bem custo benefício, vale a pena. Chegou certinho e sem defeitos."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Chegou antes do prazo e tudo certinho,"4,0 de 5 estrelas","Nos primeiros dias a bateria durava mais, porém ela não deixa a desejar. Depois de 4 meses apresentou alguns problemas."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,"Boa bateria, tela, e processamento bom pra usuário comum.","5,0 de 5 estrelas","Muito bom o aparelho, bateria dura dois dias com uso intermediário em redes sociais e whatsapp, em processamento faz tudo numa boa para um usuário comum, câmeras são básicas, e sobre a tela ser somente HD não vejo problema nenhum, irmã qualidade a tela HD além de economizar bateria. Paguei 670, pra mim valeu muito"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Excelente produto e vendedor,"5,0 de 5 estrelas","Por enquanto estou amando meu Xiaomi Redmi 8A...chegou antes do prazo e em perfeitas condições. A respeito da bateria não sei informar, mas pelas poucas horas de uso, está descarregando lentamente. O vendedor é excelente e o produto também...espero não ter problemas, porque não tenho boas lembranças do meu último aparelho, de uma marca concorrente. Obrigada!"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Hummmm,"3,0 de 5 estrelas","Recebi ótimas referências sobre o produto, era o que eu procurava, um modelo mais simples e sem maiores exigências. Agora, fiquei muito decepcionada pois a bateria dura apenas um dia e eu só uso para ver notícias e whatsapp, nada de vídeos, redes sociais. Acho muito pouco."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Ótimo custo-benefício,"5,0 de 5 estrelas","É um ótimo celular, mesmo sendo bem básico atende bem minha demanda. Ele é muito lindinho. Achei que a bateria durasse mais, mesmo assim dura mais de 24 horas tranquilamente usando bastante durante o dia.O alto falante dele é bem alto, o que eu gosto muito.Chegou antes do previsto e chegou bem embalado"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,"A câmera é lenta, mas é boa, basta ter paciência","4,0 de 5 estrelas","O Android modificado da Xiaomi é meio difícil de se acostumar, mas nada de outro mundo. É um celular razoável e de preço acessível"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Não vem com o carregador adaptável as tomadas do Brasil,"5,0 de 5 estrelas","Gostei muito do meu aparelho Redimi, muito bom recebi hoje ,do mesmo jeito mostrado na foto.Só não gostei do carregado ,ele não adapta na tomada ,porém que só serve o cabo USB.Que isso não aconteça mais cm ninguém que comprar.Chegou bem antes da data prevista ,Parabéns ao vendedor."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,"Aparelho incrivel, lindo mas veio carregador que não é padrão BR","5,0 de 5 estrelas","O aparelho é lindo, qualidade extrema por um preço bom, a unica coisa é que veio um padrão de carregador que nunca havia visto em toda minha vida, agora terei que comprar um a parte, somente esse problema mesmo de resto o aparelho se supera em qualidade."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Perfeito para quem quer uma bateria duradoura,"4,0 de 5 estrelas","Ótimo celular, bateria excelente mais de 7 horas utilizando só gastou 40%, por ser um celular focado mais na bateria ele entrega um excelente desempenho geral."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,60% Grilada..,"5,0 de 5 estrelas","O produto não demorou a chegar, ele é um bom produto se levar em consideração o valor dele. Chegou em perfeito estado. Único problema que me deixou pistola é que o carregador (caixinha) veio o modelo europeu ... Bolada com essa, mas no geral o celular é muito lindo."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,CHEGOU 100%,"5,0 de 5 estrelas","Envio feito no mesmo dia da compra, porém correios atrasou na entrega.Mas estão de parabéns, chegou tudo ok."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Recomendo,"5,0 de 5 estrelas","Comprei com o vendedor da Rafcell e o celular chegou rápido, veio com todos os componentes, muito bem embalado e ainda veio com uma película de brinde. Quando precisei falar com o vendedor por email a resposta também foi rapida, esclarecendo as minhas dúvidas. Simplesmente adorei a recomendo à todos."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,celular,"4,0 de 5 estrelas",Bom produto
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Muito bom.,"4,0 de 5 estrelas","Muito bom. Gostei bastante do celular, as vezes ele é um pouco lento p/processar, mas nada demais. Super indico. Amei meu aparelho novo."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Erro no pagamento. Em duplicidade!,"5,0 de 5 estrelas",Tive um problema de pagamento até agora não solucionado. Houve pagamento duplicado em dois cartões diferentes. E ainda não tive a restituição do valor. Um pagamento foi feito no cartão digitado outro no cartão cadastrado no App. Preciso da restituição urgente.
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,bom,"4,0 de 5 estrelas",o celular e bom mais deus umas 2 travadas que tive que reiniciar vou esperar mais um pouco se continuar mando pra autorizada
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Meu filho aprovou,"4,0 de 5 estrelas","Custo benefício excelente, porém tenho uma sujestão deveria vir com uma capa de proteção,pois não encontrei em nenhum loja de acessórios pra celular..."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Otimo produto design lindo custo benéfico SEM IGUAL,"5,0 de 5 estrelas","Produto ótimo com um acabamento lindo o hardware apesar de ser baixo funciona PERFEITAMENTE para jogos sem travamento custo benéfico SEM IGUAL E entrega chegou extremamente rápido, aliás todos os produtos que comprei na Amazon chegaram rápidos demais. Aprovo o produto e o serviço oferecido pelo site."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Ele é bastante pesado. Desconfortável para usar com bermuda.,"5,0 de 5 estrelas","Celular muito bom. Eu não uso para jogos, então pra mim está perfeito. Procurem descontos pois já é um aparelho ultrapassado para jogos pesados. Mas consigo usar para todos os meus apps. Chegou bem rápido."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Bom celular,"4,0 de 5 estrelas","O celular é ótimo, o problema foi o longo tempo de espera na entrega do produto."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Vendedor atencioso e celular maravilhoso!,"5,0 de 5 estrelas",Comprei para a minha mãe e a entrega foi muuuito rápida! Veio muito bem embalado e ainda o vendedor mandou uns presentes. Com certeza voltarei a comprar com o vendedor!!!! O celular é muito bonito! Ela amou!
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Bateria,"5,0 de 5 estrelas","Foi além das minha expectativas, nunca tive um celular com uma bateria que durasse tanto foi o que mais me atraio na compra desse produto."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Bonzinho pelo preço,"3,0 de 5 estrelas","Celular bonzinho pelo preço, deveria vim mais de memória"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Produto bom,"4,0 de 5 estrelas",Produto bom
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,"Compre uma capinha junto, ele é muito escorregadio","5,0 de 5 estrelas","Performance do aparelho 100% do que eu esperava. Não sou hard user, então me atende super bem.Só é essencial uma capinha porque a traseira é muito escorregadia e pode cair fácil da mão e do bolso."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,"Ótimo aparelho, preço muito bom.","4,0 de 5 estrelas","Gostei do aparelho, só e um pouco difícil de mexer"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Ótima compra,"5,0 de 5 estrelas","O celular te um ótimo desempenho para coisas básicas do dia-a-dia, ótima relação custo/benefício, bateria com uma durabilidade muito boa. E foi entregue antes do tempo estipulado."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Confiável.,"5,0 de 5 estrelas","Aparelho muito bom até agora, atendeu minhas espectativas. O único problema é o carregador que vem com conector padrão asiático, sugiro que seja informado na descrição do anúncio este detalhe para que os próximos compradores achem uma solução mais rápida."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Ótimo custo benefício,"5,0 de 5 estrelas","Atendeu bem a demanda diária, bateria boa, custo benefício bom!"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,durabilidade da bateria,"5,0 de 5 estrelas","Gostei do celular, é ótimo para o que eu preciso, perfeito, ótimo custo beneficio. Gostei tanto que vou comprar outro, chegou bem empacotado, embalagem bem acondicionada, veio exatamente o que dizia o anúncio, sem nada a reclamar."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Ótimo custo benefício.,"5,0 de 5 estrelas","Produto muito bom. Desempenho de acordo com  o esperado, afinal não é um top de linha. Ótimo custo benefício.O destaque fica para a bateria. A durabilidade é absurda, dá para ficar dois dias sem carregar. Sensacional!"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Ótimo,"5,0 de 5 estrelas","Comprei para minha filha, tem que colocar película de vidro que é mais cara, mas vale a pena. Ele está durando, ela sempre estraga os celulares rápido. Esse é ótimo."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,custo beneficio,"5,0 de 5 estrelas",custo beneficio e trabalho muito bom para o preço não é um top de linha da marca mais fiquei muito satisfeito pois é meu telefone de trabalho
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Bateria muito boa,"4,0 de 5 estrelas",Celular bom. Bateria com durabilidade muito boa. Leva dois dias sem carregar
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,ótimo custo beneficio,"4,0 de 5 estrelas","até agora, atendenedo as expectativas"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Um ótimo intermediário,"5,0 de 5 estrelas","Realmente, merece nota máxima. Dentro de sua proposta, é uma ótima aquisição. Bateria incrível, boa câmera, gostei bastante do som dele também, boa capacidade. Os intermediários da Xiaomi tem àquele toques dos tops de linha."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Ótimo produto,"5,0 de 5 estrelas","A marca da xiaomi em si é otima pelo menos para mim que adoro os produtos, aparelho lindo de otima qualidade, bateria dura dois dias ou ate 3 dependendo do modo de uso, entrega rapida."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Satisfação.,"4,0 de 5 estrelas",Bom produto.
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Ótimo custo benefício,"4,0 de 5 estrelas",É um celular básico mas surpreendeu pelo bom desempenho. A bateria é ótima.
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Ok,"5,0 de 5 estrelas","Dei de presente, meu neto gostou, tela grande, bateria dura dia todo mesmo com jogos e vídeos. Tudo ok."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,"Cor errada, mas e bom","5,0 de 5 estrelas","Veio na cor errada, mas o produto e de qualidade"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,ÓTIMO APARELHO,"5,0 de 5 estrelas","Relutei muito em comprar o celular, mas depois de ouvir várias opiniões positivas comprei. Estou amando o celular, a bateria tem uma durabilidade muito boa. Recomendo com certeza."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Aparelho é bom. Câmera boa. Custo benefício vale a pena.,"4,0 de 5 estrelas","O aparelho aquece um pouco ao carregar... É normal?No mais, é um aparelho."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Qualidade,"4,0 de 5 estrelas",Um bom produto
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Xiaomi Redmi8A,"4,0 de 5 estrelas",Gostei muito do produto até o momento
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,"Não é top, mas é bom","4,0 de 5 estrelas","Não é um top de linha, mas atende muito bem as minha necessidades."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Aparelho excelente. Ótimo custo benefício,"5,0 de 5 estrelas","Telefone ótimo.  Bateria dura mto. Aparelho lindo, com bom preço é desempenho.  Câmera perfeita.Melhor que muitos aparelhos de outras fabricantes e na mesma linha de preço."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Xiaomi,"4,0 de 5 estrelas",Ainda não tenho uma opinião
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Custo-benefício,"5,0 de 5 estrelas","Para mim, nenhum celular dessas marcas mais conhecidas oferece o que esse aparelho oferece por um preço bemmm mais baixo. Xiaomi veio pra ficar e é melhor que praticamente todas essas outras empresas."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,"Não atendeu as minhas expectativas, mesmo sendo um cel de entrada","2,0 de 5 estrelas","A entrega da Amazon é excelente, não tenho nem o que falar. Já quanto ao tão aclamado Xiaomi, não gostei nada do sistema operacional dele, acho o layout BASTANTE poluído, com uma série de apps integrados e que não permitem desinstalar. Dá umas travadas ""mutcho lokas"" do nada. Algumas vezes tive de desligar o celular pq ele deu uma tela preta do nada. Agora, se vc gosta da marca e do sistema deles, deve te agradar, a mim, que venho de um motorola da linha G, não agradou nada. Tanto que retornei ao motorola e uso o xiaomi como acessório apenas.  Apesar de tudo ele tem um design bem bonito, o azul me agradou bastante."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Custo x benefício,"4,0 de 5 estrelas",Meu filho gostou muito.
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Atende as expectativas,"4,0 de 5 estrelas",Aparelho muito bom
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Celular,"4,0 de 5 estrelas",Otimo
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Celular para uso infanto-juvenil.,"4,0 de 5 estrelas",Bastante adequado para o uso a que se destina.
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Celular muito bom,"5,0 de 5 estrelas",Vendedor muito atencioso.Comprei para presentear minha mãe.Ela amou
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Tava com medo mas foi uma boa compra,"5,0 de 5 estrelas","Não sentia tanta confiança mas quando chegou vi que era original, novo e funcionava sem problema algum!"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Produto muito bom 100% novo e original,"5,0 de 5 estrelas",O Produto é muito bom 100% novo e original lacrado recomendo a todos o vendedor e o produto Xiaomi nao tem o que reclamar vou comprar mais desse vendedor
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Adorei o celular,"5,0 de 5 estrelas","O celular superou minhas expectativas. a Bateria dura bastante, e a câmera é excelente, tem aquele efeito de desfoque do fundo da imagem que tanto gosto e as imagens possuem muita definição."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,7uyu,"4,0 de 5 estrelas","Celular ótimo, mas veio com o carregador padrão chinês."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Custo benefício,"4,0 de 5 estrelas",Aparelho bom dentro de sua proposta
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Tela enorme. Gostei.,"4,0 de 5 estrelas","Estou satisfeito, bom produto por um ótimo preço."
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Lindoo D+,"5,0 de 5 estrelas","Ameiiiii ♥️Super recomendo, chegou bem rápido, lacrado...O celular é maravilhoso, vale a pena comprar 😎👏🏻"
Celular Xiaomi Redmi 8A Versão Global 32gb / 2gb Ram/Tela 6.22 - Azul,Excelente custo benefício,"5,0 de 5 estrelas",Este s artphone é tão superior quantos os da Apple. A bateria é algo a se destacar. O produto demorou um pouco para chegar ao destino. Deve ter sido minha ansiedade.
